Cast,StartTime,flSP,CStarTr0,sbox0Mm/Kg
42,2018-04-15 05:12:33,0.1628096153846154,4.5327,201.0665
43,2018-04-15 15:06:02,,4.53257948717949,202.785743589744
44,2018-04-15 22:01:43,,4.50776585365854,205.200243902439
45,2018-04-16 15:03:02,,4.53116666666667,201.298518518519
46,2018-04-17 15:03:16,,4.53063333333333,201.452296296296
47,2018-04-17 21:04:08,,4.5234380952381,199.625785714286
48,2018-04-18 15:03:03,,4.54014,205.091885714286
49,2018-04-18 22:05:25,,4.52483953488372,205.593744186046
50,2018-04-19 02:15:57,,4.52235151515152,204.044848484848
51,2018-04-19 06:07:15,,4.52427619047619,203.567047619048
52,2018-04-19 12:06:26,,4.53015945945946,201.602378378378
53,2018-04-19 14:16:53,,4.52452,199.73832
54,2018-04-19 18:05:49,,4.52972954545455,201.9165
55,2018-04-19 23:59:38,,4.52721956521739,207.035630434783
56,2018-04-20 06:06:48,,4.53900526315789,204.073684210526
57,2018-04-20 11:01:56,,4.53268974358974,202.185846153846
58,2018-04-20 22:34:17,,4.52521142857143,205.640314285714
