,data source,A-NAAF,C-NAAF,D-NAAF,E-NAAF,F-NAAF,G-NAAF,H-NAAF,K-NAAF,I/L-NAAF,M-NAAF,N-NAAF,P-NAAF,Q-NAAF,R-NAAF,S-NAAF,T-NAAF,V-NAAF,W-NAAF,Y-NAAF,C-carb-NAAF,M-oxid-NAAF,N-deam-NAAF,Q-deam-NAAF,K-hydr-NAAF,P-hydr-NAAF,R-meth-NAAF,% C w/ carb. NAAF,% M w/ oxid. NAAF,% N w/ deam. NAAF,% Q w/ deam. NAAF,% K w/ hydr. NAAF,% P w/ hydr. NAAF,% R w/ meth. NAAF,AA-Total-NAAF,A_RelNAAF,C_RelNAAF,D_RelNAAF,E_RelNAAF,F_RelNAAF,G_RelNAAF,H_RelNAAF,K_RelNAAF,I/L_RelNAAF,M_RelNAAF,N_RelNAAF,P_RelNAAF,Q_RelNAAF,R_RelNAAF,S_RelNAAF,T_RelNAAF,V_RelNAAF,W_RelNAAF,Y_RelNAAF
0,1. 100 m sus.,5345.440129499926,473.34701957961,1669.2965454635032,2564.0153824273516,1083.4823563890882,1842.1424375878514,364.1922525818512,3014.010158280154,6152.713619903954,791.8290546215579,2571.7804408719776,4800.974444367753,1210.707982392671,5161.928328954691,3452.3232706776735,3476.435052518059,8122.079964918035,842.9450081525915,822.9574259498579,473.34701957961,419.37872849623955,1134.5963008458755,181.65232232791766,435.8845753630204,877.2842930052288,1589.339943476632,1.0,0.5296329126198519,0.4411715256925991,0.15003809751788855,0.14461947786259077,0.18273046506931775,0.3078965538055967,53762.60087513816,0.09942673982448379,0.00880439212155942,0.03104940085284171,0.04769143123083259,0.020153086695069676,0.03426438467636946,0.006774081734395171,0.05606146483277644,0.11444226134433907,0.01472825052605908,0.04783586357447348,0.08929951985615159,0.022519520311238286,0.09601336700475292,0.06421421609969315,0.06466270224894742,0.15107304767083896,0.015679022116327726,0.015307247278850012
1,2. 265 m sus.,3530.5285321136726,739.737414582622,780.0815097410689,1580.4613906833968,505.8323395214802,1390.130777426039,534.510527652477,2437.063785180374,4968.403852722617,680.8325212061538,1581.6450230303137,3775.3392521145765,635.0369133175386,4380.269891098427,3136.964216398119,3459.931740427178,7161.4945381882835,800.343940463722,581.0327651414864,739.737414582622,278.5533044350163,751.2910089547051,105.5629135974718,516.2698477347994,648.7786324208548,1077.2200177290897,1.0,0.40913630850291194,0.4750060841814478,0.16623114559749536,0.21184092549165218,0.1718464458677382,0.24592548964122354,42659.64093100955,0.08276039026731025,0.017340451031431503,0.018286171489409395,0.0370481644053068,0.01185739796402711,0.03258655598330516,0.012529653695794193,0.057128089500839134,0.11646614327480319,0.01595964022077018,0.03707591035724369,0.08849908648364313,0.014886128890408135,0.10267948335951377,0.0735347074643997,0.0811055054594267,0.167875171517971,0.018761150422200275,0.013620198212196628
2,3. 965 m sus.,1651.1929485929663,89.3138790193085,259.67304663536584,554.8892082913983,100.72867965255358,322.6803471446008,35.59285522342914,485.10031637099337,1587.3395827931815,206.40880886492528,497.725696966248,1427.7923865104656,141.11566044350698,1858.482876261355,1308.7016655546054,1260.2413350589488,3306.1895397215785,146.75286555537002,76.04134252298459,89.3138790193085,80.39570356438357,290.25780221835305,35.44238428224041,103.45660573088915,334.8026983554394,1138.87813359259,1.0,0.3894974444477068,0.5831682068809,0.25115840560041247,0.21326847713652688,0.23448976302058838,0.6127999069238838,15315.963041183784,0.10780862712667816,0.00583142429758732,0.016954405409383613,0.03622946900559447,0.006576712112826316,0.021068237516435044,0.002323905792128246,0.03167285759743512,0.10363955426928835,0.013476711083064337,0.03249718582030336,0.09322250143012295,0.009213632865530865,0.12134286765148208,0.0854469067361666,0.08228286603135755,0.21586559923338913,0.009581693633025858,0.004964842388200702
3,4. 100 m trap,1270.467168084587,136.42228469343218,313.47122967166865,775.1137857212252,195.85109018752433,352.88974731307616,51.926323870728716,674.6849446782925,1151.9008170851941,151.15971627946465,403.35058146813384,1329.4263321281746,178.1515528111193,1199.3221336773343,894.3916653953177,981.6574793841264,2355.8424869886585,95.49908001450234,265.3567282463699,136.42228469343218,79.64970721920605,172.88235852244782,18.308590794616897,77.41897985929765,191.90662598332474,687.7798412619362,1.0,0.5269241645833033,0.4286156174442162,0.10276975140389666,0.11474834360830899,0.14435295987865415,0.5734738165409166,12776.88514769893,0.09943481164604454,0.010677272521151318,0.024534244931216562,0.06066531684060887,0.01532854744513348,0.027619387920742977,0.0040640831681953765,0.0528051193134346,0.09015505765054539,0.011830717309585268,0.03156877257684169,0.1040493294539475,0.013943269486397767,0.09386655040045717,0.07000075957921516,0.07683073519377447,0.18438316223050163,0.007474363188722986,0.02076849914348332
4,6. 265 m trap,8238.83401762968,1987.563794046986,5706.833608306419,6905.567381295079,2802.732759148215,5459.726941305696,2710.610833279162,12407.944608406253,11459.458307121997,6512.666804491868,7586.274687687246,11858.828879626453,2490.664531397194,8402.723339680195,5219.341069207705,5777.655774662674,8529.446755913887,2176.1939500300996,2220.0433958314784,1987.563794046986,3125.333658090095,2474.8482224404456,121.6557841738692,3441.1038399469244,5382.308700266661,4641.7635786500205,1.0,0.479885391332244,0.3262270777588899,0.04884470896834254,0.2773306900173952,0.45386511222145237,0.5524118063878424,118453.11143906828,0.06955354669486835,0.016779329558340723,0.04817799666868174,0.05829789777069107,0.023661115567993562,0.04609188289759829,0.02288340762305334,0.1047498411621618,0.09674256900391079,0.054980968632824416,0.06404453707904152,0.10011411887417224,0.021026585972613983,0.0709371264088957,0.04406250714564395,0.04877588865729941,0.07200694563689358,0.01837177532604978,0.01874195931926582
5,6. 965 m trap,6450.775290163726,1752.3963616689434,3708.8884704273783,4501.376268238164,2324.1362717822417,3534.665397940651,2176.2377552495823,9627.219402451492,9280.473189793973,5570.297566999235,5383.332555523739,9681.157614621125,2328.604993493597,8935.671908876739,4075.7416489910406,4571.88619986927,8235.813647421539,1464.6572788871945,1748.2110899682093,1752.3963616689434,2309.1200833177995,1556.2636516561952,143.9706561708681,2071.452259994262,3875.909170893735,5195.560510854656,1.0,0.41454160312691185,0.28908926498686055,0.06182699795505871,0.21516620463295807,0.4003559620845425,0.581440384543815,95351.54291236786,0.06765255278661053,0.01837826959212889,0.0388969948167069,0.04720821636179627,0.024374396058994264,0.03706982907648552,0.022823309290858962,0.10096553352366115,0.0973290300957492,0.05841853625922525,0.056457739341158344,0.10153121091620428,0.02442126181045318,0.09371292415361336,0.042744370195842776,0.04794768978275505,0.08637315554495645,0.015360603868080846,0.018334376524718535
