Pressure [dbar],StartTime,depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,v2,v3,par,scan,nbin,flag
188.0,2017-01-09 03:09:31,186.803,16.52356,-107.11331000000001,12.2249,12.225,12.2002,34.79,34.7978,1027.2244,26.3828,0.071707,0.395,262.42394,0.0755,98.1307,0.0319,0.0359,0.0029204,8192.0,24.0,False
189.0,2017-01-09 03:09:31,187.795,16.52356,-107.11332,12.2185,12.2185,12.1937,34.789,34.7968,1027.2294,26.3833,0.06940700000000001,0.39,262.46033,0.0756,98.1283,0.0317,0.0358,0.0028609,8218.0,27.0,False
190.0,2017-01-09 03:09:31,188.78900000000002,16.52356,-107.11332,12.2094,12.2095,12.1844,34.7883,34.7961,1027.235,26.3844,0.071681,0.348,262.51136,0.0756,98.1268,0.0318,0.0359,0.0028624,8246.0,30.0,False
191.0,2017-01-09 03:09:31,189.782,16.52356,-107.11332,12.2044,12.2046,12.1792,34.7876,34.7955,1027.24,26.3849,0.072135,0.375,262.5398,0.0758,98.1221,0.0319,0.0358,0.0028624,8277.0,29.0,False
192.0,2017-01-09 03:09:31,190.775,16.52356,-107.11332,12.1985,12.1985,12.1733,34.787,34.7948,1027.2451,26.3855,0.069525,0.376,262.57273,0.0761,98.1152,0.0318,0.0358,0.0028624,8306.0,28.0,False
193.0,2017-01-09 03:09:31,191.768,16.52356,-107.11331000000001,12.1927,12.1928,12.1673,34.7863,34.7941,1027.2502,26.3861,0.070088,0.375,262.60577,0.0759,98.1214,0.0317,0.0356,0.0028624,8332.0,23.0,False
194.0,2017-01-09 03:09:31,192.761,16.52356,-107.1133,12.1859,12.1858,12.1604,34.7855,34.7934,1027.2553,26.3868,0.06846100000000001,0.366,262.6438,0.0761,98.1155,0.0317,0.0358,0.00274,8354.0,23.0,False
195.0,2017-01-09 03:09:31,193.75400000000002,16.52356,-107.1133,12.1681,12.1677,12.1425,34.784,34.792,1027.2622,26.3891,0.070689,0.377,262.74349,0.076,98.1178,0.0318,0.0357,0.0026819,8377.0,23.0,False
196.0,2017-01-09 03:09:31,194.748,16.52356,-107.1133,12.1455,12.145,12.1198,34.7826,34.7906,1027.27,26.3924,0.07002799999999999,0.33399999999999996,262.86879,0.0756,98.1283,0.0317,0.0356,0.0028084,8401.0,25.0,False
197.0,2017-01-09 03:09:31,195.74099999999999,16.52356,-107.1133,12.1221,12.1216,12.0963,34.7814,34.7893,1027.2781,26.3959,0.066794,0.37799999999999995,262.99857000000003,0.0763,98.111,0.0317,0.0358,0.0024286,8432.0,35.0,False
198.0,2017-01-09 03:09:31,196.734,16.52356,-107.1133,12.0853,12.0851,12.0594,34.7797,34.7876,1027.2885,26.4017,0.06830399999999999,0.43200000000000005,263.20209,0.0767,98.1,0.0317,0.036,0.002363,8470.0,39.0,False
199.0,2017-01-09 03:09:31,197.727,16.52356,-107.11331000000001,12.0698,12.0702,12.0438,34.7786,34.7865,1027.2951,26.4038,0.069494,0.377,263.28878,0.076,98.1179,0.0318,0.0358,0.0023896,8513.0,50.0,False
200.0,2017-01-09 03:09:31,198.72,16.52356,-107.1133,12.1551,12.1517,12.1289,34.7818,34.7894,1027.2853,26.3899,0.068482,0.332,262.8181,0.0761,98.1161,0.0318,0.0353,0.0015064,8700.0,351.0,False
201.0,2017-01-09 03:09:31,199.713,16.52356,-107.1133,12.0953,12.079,12.0689,34.7787,34.785,1027.2992,26.399,0.068978,0.289,263.1499,0.0763,98.1124,0.0317,0.0348,0.00035925,8989.0,83.0,False
202.0,2017-01-09 03:09:31,200.706,16.52356,-107.1133,12.0218,12.0411,11.9955,34.776,34.7842,1027.3158,26.4109,0.06829099999999999,0.353,263.5551,0.0762,98.1141,0.0317,0.0347,-0.00014780000000000001,9054.0,14.0,False
